Kuzey aksanı.	'Bugün'de vurgu ikinci hecededir.	aksan-vurgu
Önyargılar kolayca zihinlere yerleşebilir.	Diş implantları eksik dişlerin yerini alabilir.	yerleşmek-implant
Raporda tehlikeli atık ithalatının yasaklanması çağrısında bulunuluyor.	Bu ifadenin tam anlamını anlamak zordur.	ithalat-anlam
Komşularımızla pek samimi değiliz.	Emekli olma niyetini zaten bize açıkça ifade-etti.	samimi-ifadetmek
Küçük kasabada olup biten tüm entrikaları ve skandalları çok geçmeden öğrendim.	Bu fikir onun ilgisini-çekti.	entrika-ilgisiniçekmek
Anlaşma onaylanmadığı için geçersiz ilan edildi.	Narin bir çocuktu ve ailesi ona engelli muamelesi yapmıştı.	geçersiz-engelli
Çilek reçeli alabilir miyim?	Otobüs beş millik bir sıkışıklık nedeniyle gecikti.	reçel-sıkışıklık
İşe yarayabilecek tek bir yöntem var.	Bu adil bir karardı.	tek-adil
Her türlü şeyi satıyorlar.	Çok naziktin.	türlü-nazik
İkinci turda liderliği ele geçirdi.	Kurşuna maruz kalmak herkese, özellikle de küçük çocuklara ve bebeklere zararlı olabilir.	liderlik-kurşun
Yerel gazetemizin editörüne bir mektup yazdım.	Yunan alfabesinde kaç harf var?	mektup-harf
Yalan-söylediği suratından anlaşılıyordu.	Kendinizi daha iyi hissedene kadar biraz orada uzanın.	yalan-uzanmak
Beyaz boya ışığı yansıtır.	Açık mavi gözleri var.	ışık-açık
Üç harika yerel grup canlı performans sergileyecek.	Teknolojik ilerlemenin norm haline geldiği bir dünyada yaşıyoruz.	canlı-yaşamak
Yıldız işaretiyle işaretlenen öğeler atlanabilir.	Sınav kağıtlarını notlamaktan nefret ediyorum.	işaretlemek-notlamak
Cumartesi günü Liverpool'a karşı önemli bir maç oynayacaklar.	Mağaranın içini görebilmeleri için bir kibrit yaktı.	maç-kibrit
Küçük kardeşine bu kadar kaba davranma!	Açık sözlülük ile kabalık arasında bir orta yol bulması gerekiyordu.	kaba-orta
Aklımdan türlü türlü düşünceler geçiyordu.	Ailen evden ayrılmanı umursuyor mu?	akıl-umursamak
İki dakika sonra telefon çaldı.	Teknedeki mutfak küçücüktü.	dakika-küçücük
Tırnaklarını yemeyi bırak!	Çiviyi duvara çaktı.	tırnak-çivi
Son romanı Cornwall'da geçiyor.	Plan oldukça yeni görünüyordu.	roman-yeni
Pek çok bölge insanı yeni havalimanının yapılmasına karşı-çıkıyor.	Tarayıcı metal bir nesne tespit etti.	karşıçıkmak-nesne
Bu toplantının temel amacı planlarımız hakkında daha fazla bilgi vermektir.	Tamamen tarafsız kalmak zordur.	amaç-tarafsız
Bu tablo çok tuhaf görünüyor.	1, 3, 5 ve 7 tek sayılardır.	tuhaf-tek
Palmiye ağaçları her tarafta.	Kuşu avucunun içinde yavaşça tuttu.	palmiye-avuç
Hastaneler her zamankinden daha fazla hastayı tedavi ediyor.	Küçük çocuklara karşı çok sabırlıdır.	hasta-sabırlı
Bir kalem alayım.	Koyun ağılı var.	kalem-ağıl
Bazı bilimsel keşifler, yıkım silahları yaratmak amacıyla çarpıtıldı.	O bir cinsel sapıktı.	çarpıtılmak-sapık
Maçın ardından taraftarlar sahayı işgal etti.	Patlama onu şiddetle havaya fırlattı.	saha-fırlatmak
Kilisenin içi sade ve basitti.	Milyonlarca bufalo Büyük Ovalar'da özgürce dolaşıyordu.	basit-ova
Ojenizi ödünç alabilir miyim?	Annesi Polonyalı.	oje-polonyalı
Bir milyon pound kazansan ne yapardın?	Şiddetli yağmur çatıyı dövdü.	pound-dövmek
Mevcut durumdan memnun değilim.	Ona doğum günü hediyesi olarak ne alabilirim?	mevcut-hediye
Oyun oldukça iyiydi.	O elbiseyle çok güzel görünüyorsun!	oldukça-güzel
Sınıfım ortaçağ kentleri üzerine bir proje yapıyor.	Gelecek yıl için yüzde 4'lük bir büyüme öngörülüyor.	proje-öngörülmek
Artık sadece özel öğrencilere ders veriyor.	Gözbebekleri genişlemişti.	öğrenci-gözbebeği
Avcılar ormandaki avlarını gözden kaybetti.	Yerel kaya yamaçtan çıkarılmaktadır.	av-çıkarılmak
Ankete katılanların neredeyse çeyreği istihdamda ayrımcılık yapıldığını bildirdi.	Paris'te bir öğrenci olarak Latin mahallesini seviyordu.	çeyrek-mahalle
Şu korkunç gürültüyü yapmayı bırak!	Raketini toprağa vurdu.	gürültü-raket
Yüksek sosyal statüye sahip insanlarla kaynaşmaya alışık değildi.	Bence durum oldukça vahim.	statü-vahim
Adını hatırlamıyordu.	Her iki ülke de büyükelçilerini geri-çağırdı.	hatırlamak-geriçağırmak
Harcamalarınızın kaydını tutmalısınız.	100 metrede dünya rekorunun sahibidir.	kayıt-rekor
Bir sorun olduğunu kabul etmeyi reddetti.	Burada çöp toplama işlemi nasıl işliyor?	reddetmek-çöp
Grant adına rezervasyonumuz var.	Onun bu işi yapma becerisi konusunda ciddi çekincelerim var.	rezervasyon-çekince
Altı yıllık bir aradan sonra kariyerine devam-etti.	Özgeçmişinde hala göze çarpan bir boşluk var.	devametmek-özgeçmiş
Ordu isyanı kısa sürede bastırdı.	Filmdeki tüm şiddet beni iğrendirdi.	isyan-iğrendirmek
Cevabı doğru yaptın mı?	Sağ gözüm sol gözüme göre daha zayıf.	doğru-sağ
Orta parmağına bir yüzük takıyordu.	Kilisenin çanları çaldı.	yüzük-çalmak
Petrole ulaşmak için birkaç kat kayayı deldiler.	Tekne dalgaların arasında bir yandan diğer yana sallanıyordu.	kaya-sallanmak
Top tepeden aşağı yuvarlandı.	Ruloları 18-20 dakika pişirin.	yuvarlanmak-rulo
Evin önünde bir sıra ağaç var.	Adanın etrafında kürek-çektik.	sıra-kürekçekmek
Sonunda tüm Mısır'ın hükümdarı oldu.	Geometri için bir cetvele ihtiyacım var.	hükümdar-cetvel
Burada büyük çapta bir yolsuzluk vardı.	Canavar, büyük mor ve yeşil pulları olan bir ejderhaydı.	çap-pul
Mektupta başkanın mührü vardı.	Yıllık fok avı Grönland açıklarındaki buz kütlelerinde yapılıyor.	mühür-fok
Herhangi bir teklifin komitenin diğer iki üyesi tarafından desteklenmesi gerekir.	Her yıl iki öğretmen altı aylığına sanayiye görevlendiriliyor.	desteklenmek-görevlendirilmek
Bölge, onu kullanan çokça turistin tehdidi altındadır.	Sadece çaresizlikten kabul ettim.	çokça-sadece
Geriye dönüp baktığımda işaretleri görmeliydim.	Burayı imzalayın lütfen.	işaret-imzalamak
Denizaltı patlamanın ardından battı.	Kirli tabaklarınızı lavaboda bırakmayın!	batmak-lavabo
Kuşlar ilkbaharın sonlarında gelir ve sonbaharın başlarında tekrar ayrılırlar.	Kanepedeki yaylar gitti.	ilkbahar-yay
Prens, savaş için para toplamak amacıyla tebaasından ağır vergiler almak zorunda kaldı.	Hangi konularda eğitim görüyorsunuz?	tebaa-konu
Kot pantolonumu çitin üzerinde yırttım.	Yüzünden bir gözyaşı yuvarlandı.	yırtmak-gözyaşı
